path,pipeline,description,size_mb,throughput_mbps
data\user_data\D1\Breaking_Mindset_Barriers.mp4,A,zstd + AES + KEM,16.0,120.3271695894433
data\user_data\D1\Breaking_Mindset_Barriers.mp4,B,raw + AES + KEM,16.0,374.69409737691086
data\user_data\D1\Breaking_Mindset_Barriers.mp4,C,raw + AES,16.0,931.5323710794098
data\user_data\D1\Breaking_Mindset_Barriers.mp4,D,gzip + AES + KEM,16.0,21.34905762468763
data\user_data\D1\IMG_20240505_184443_536.jpg,A,zstd + AES + KEM,6.8355817794799805,98.43584255588326
data\user_data\D1\IMG_20240505_184443_536.jpg,B,raw + AES + KEM,6.8355817794799805,192.32081458928005
data\user_data\D1\IMG_20240505_184443_536.jpg,C,raw + AES,6.8355817794799805,871.8520717214483
data\user_data\D1\IMG_20240505_184443_536.jpg,D,gzip + AES + KEM,6.8355817794799805,20.293242170079623
data\user_data\D1\IMG_20240505_184514_417.jpg,A,zstd + AES + KEM,6.681689262390137,110.30331114037902
data\user_data\D1\IMG_20240505_184514_417.jpg,B,raw + AES + KEM,6.681689262390137,203.84552085095947
data\user_data\D1\IMG_20240505_184514_417.jpg,C,raw + AES,6.681689262390137,952.3366645959105
data\user_data\D1\IMG_20240505_184514_417.jpg,D,gzip + AES + KEM,6.681689262390137,20.485246573739953
data\user_data\D1\IMG_20240505_184517_524.jpg,A,zstd + AES + KEM,6.62376594543457,114.70558813997573
data\user_data\D1\IMG_20240505_184517_524.jpg,B,raw + AES + KEM,6.62376594543457,206.93965743809017
data\user_data\D1\IMG_20240505_184517_524.jpg,C,raw + AES,6.62376594543457,983.8201553676914
data\user_data\D1\IMG_20240505_184517_524.jpg,D,gzip + AES + KEM,6.62376594543457,20.76130595671753
data\user_data\D1\IMG_20240505_184520_085.jpg,A,zstd + AES + KEM,6.8107757568359375,119.3434537726604
data\user_data\D1\IMG_20240505_184520_085.jpg,B,raw + AES + KEM,6.8107757568359375,177.27485322762521
data\user_data\D1\IMG_20240505_184520_085.jpg,C,raw + AES,6.8107757568359375,891.5328086465707
data\user_data\D1\IMG_20240505_184520_085.jpg,D,gzip + AES + KEM,6.8107757568359375,19.634159425066272
data\user_data\D1\IMG_20240505_185009_663.jpg,A,zstd + AES + KEM,6.127076148986816,99.77261428204538
data\user_data\D1\IMG_20240505_185009_663.jpg,B,raw + AES + KEM,6.127076148986816,159.50112322193146
data\user_data\D1\IMG_20240505_185009_663.jpg,C,raw + AES,6.127076148986816,897.187984238144
data\user_data\D1\IMG_20240505_185009_663.jpg,D,gzip + AES + KEM,6.127076148986816,17.49736314548975
data\user_data\D1\IMG_20240505_185010_443.jpg,A,zstd + AES + KEM,6.577130317687988,88.10469904501363
data\user_data\D1\IMG_20240505_185010_443.jpg,B,raw + AES + KEM,6.577130317687988,157.7669432772167
data\user_data\D1\IMG_20240505_185010_443.jpg,C,raw + AES,6.577130317687988,727.5828063905684
data\user_data\D1\IMG_20240505_185010_443.jpg,D,gzip + AES + KEM,6.577130317687988,14.927521856860796
data\user_data\D1\PXL_20251202_133232266.MP.jpg,A,zstd + AES + KEM,6.188117980957031,87.32854236459274
data\user_data\D1\PXL_20251202_133232266.MP.jpg,B,raw + AES + KEM,6.188117980957031,145.56749730594294
data\user_data\D1\PXL_20251202_133232266.MP.jpg,C,raw + AES,6.188117980957031,707.0195583899074
data\user_data\D1\PXL_20251202_133232266.MP.jpg,D,gzip + AES + KEM,6.188117980957031,16.97817320698494
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,A,zstd + AES + KEM,6.016999244689941,98.52239707745244
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,B,raw + AES + KEM,6.016999244689941,139.25982483030396
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,C,raw + AES,6.016999244689941,762.4078795712035
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,D,gzip + AES + KEM,6.016999244689941,17.60923829706041
data\user_data\D1\PXL_20251205_175227735.MP.jpg,A,zstd + AES + KEM,6.558318138122559,89.73548791861909
data\user_data\D1\PXL_20251205_175227735.MP.jpg,B,raw + AES + KEM,6.558318138122559,156.7546836053903
data\user_data\D1\PXL_20251205_175227735.MP.jpg,C,raw + AES,6.558318138122559,696.1086589131415
data\user_data\D1\PXL_20251205_175227735.MP.jpg,D,gzip + AES + KEM,6.558318138122559,16.69187159247386
data\user_data\D1\PXL_20251209_113357421.MP.jpg,A,zstd + AES + KEM,6.498793601989746,93.1983227283887
data\user_data\D1\PXL_20251209_113357421.MP.jpg,B,raw + AES + KEM,6.498793601989746,148.75908692320803
data\user_data\D1\PXL_20251209_113357421.MP.jpg,C,raw + AES,6.498793601989746,729.6440467436507
data\user_data\D1\PXL_20251209_113357421.MP.jpg,D,gzip + AES + KEM,6.498793601989746,17.230217762947298
data\user_data\D1\PXL_20251215_080505281.MP.jpg,A,zstd + AES + KEM,6.015619277954102,91.02493170099338
data\user_data\D1\PXL_20251215_080505281.MP.jpg,B,raw + AES + KEM,6.015619277954102,127.88007253178091
data\user_data\D1\PXL_20251215_080505281.MP.jpg,C,raw + AES,6.015619277954102,668.914974899528
data\user_data\D1\PXL_20251215_080505281.MP.jpg,D,gzip + AES + KEM,6.015619277954102,16.42766204123832
data\user_data\D1\PXL_20251221_124325528.MP.jpg,A,zstd + AES + KEM,6.176543235778809,91.31387022517637
data\user_data\D1\PXL_20251221_124325528.MP.jpg,B,raw + AES + KEM,6.176543235778809,143.76926400025906
data\user_data\D1\PXL_20251221_124325528.MP.jpg,C,raw + AES,6.176543235778809,754.5712839546201
data\user_data\D1\PXL_20251221_124325528.MP.jpg,D,gzip + AES + KEM,6.176543235778809,17.6366591967928
data\user_data\D1\PXL_20251221_192530116.mp4,A,zstd + AES + KEM,6.287561416625977,96.89106254242199
data\user_data\D1\PXL_20251221_192530116.mp4,B,raw + AES + KEM,6.287561416625977,144.76461240217134
data\user_data\D1\PXL_20251221_192530116.mp4,C,raw + AES,6.287561416625977,757.8205595373363
data\user_data\D1\PXL_20251221_192530116.mp4,D,gzip + AES + KEM,6.287561416625977,18.020169253283534
data\user_data\D1\PXL_20251225_090206837.MP.jpg,A,zstd + AES + KEM,6.6897783279418945,101.69293689863811
data\user_data\D1\PXL_20251225_090206837.MP.jpg,B,raw + AES + KEM,6.6897783279418945,151.4093150111017
data\user_data\D1\PXL_20251225_090206837.MP.jpg,C,raw + AES,6.6897783279418945,756.428536200635
data\user_data\D1\PXL_20251225_090206837.MP.jpg,D,gzip + AES + KEM,6.6897783279418945,17.11433169032055
data\user_data\D1\PXL_20251225_090219896.MP.jpg,A,zstd + AES + KEM,6.364558219909668,93.50252933610679
data\user_data\D1\PXL_20251225_090219896.MP.jpg,B,raw + AES + KEM,6.364558219909668,124.3306041181334
data\user_data\D1\PXL_20251225_090219896.MP.jpg,C,raw + AES,6.364558219909668,725.7358494413158
data\user_data\D1\PXL_20251225_090219896.MP.jpg,D,gzip + AES + KEM,6.364558219909668,16.828346928412646
data\user_data\D1\PXL_20251225_090327132.MP.jpg,A,zstd + AES + KEM,6.264394760131836,97.67330711669769
data\user_data\D1\PXL_20251225_090327132.MP.jpg,B,raw + AES + KEM,6.264394760131836,135.34950691547158
data\user_data\D1\PXL_20251225_090327132.MP.jpg,C,raw + AES,6.264394760131836,723.1875038361269
data\user_data\D1\PXL_20251225_090327132.MP.jpg,D,gzip + AES + KEM,6.264394760131836,17.750948016342548
data\user_data\D1\PXL_20251225_201550669.TS-000.MP.jpg,A,zstd + AES + KEM,6.23698616027832,92.60256029722393
data\user_data\D1\PXL_20251225_201550669.TS-000.MP.jpg,B,raw + AES + KEM,6.23698616027832,147.16050978869913
data\user_data\D1\PXL_20251225_201550669.TS-000.MP.jpg,C,raw + AES,6.23698616027832,746.5867996062559
data\user_data\D1\PXL_20251225_201550669.TS-000.MP.jpg,D,gzip + AES + KEM,6.23698616027832,17.17856676447552
data\user_data\D1\PXL_20251226_065017813.MP.jpg,A,zstd + AES + KEM,6.1597700119018555,95.74553750397295
data\user_data\D1\PXL_20251226_065017813.MP.jpg,B,raw + AES + KEM,6.1597700119018555,152.88393105040373
data\user_data\D1\PXL_20251226_065017813.MP.jpg,C,raw + AES,6.1597700119018555,756.096875301468
data\user_data\D1\PXL_20251226_065017813.MP.jpg,D,gzip + AES + KEM,6.1597700119018555,17.050624562904215
data\user_data\D1\PXL_20251226_065523407.TS-000.MP.jpg,A,zstd + AES + KEM,6.092905044555664,85.16090459328476
data\user_data\D1\PXL_20251226_065523407.TS-000.MP.jpg,B,raw + AES + KEM,6.092905044555664,124.35210665271669
data\user_data\D1\PXL_20251226_065523407.TS-000.MP.jpg,C,raw + AES,6.092905044555664,736.8726285012108
data\user_data\D1\PXL_20251226_065523407.TS-000.MP.jpg,D,gzip + AES + KEM,6.092905044555664,17.38951448304955
data\user_data\D1\PXL_20251226_065644794.MP.jpg,A,zstd + AES + KEM,6.229752540588379,96.23989165493423
data\user_data\D1\PXL_20251226_065644794.MP.jpg,B,raw + AES + KEM,6.229752540588379,154.48744410698768
data\user_data\D1\PXL_20251226_065644794.MP.jpg,C,raw + AES,6.229752540588379,739.4277260393236
data\user_data\D1\PXL_20251226_065644794.MP.jpg,D,gzip + AES + KEM,6.229752540588379,17.397315571594618
data\user_data\D1\PXL_20251226_070459627.MP.jpg,A,zstd + AES + KEM,6.312774658203125,99.31555331485673
data\user_data\D1\PXL_20251226_070459627.MP.jpg,B,raw + AES + KEM,6.312774658203125,155.03798489028185
data\user_data\D1\PXL_20251226_070459627.MP.jpg,C,raw + AES,6.312774658203125,747.1269728536772
data\user_data\D1\PXL_20251226_070459627.MP.jpg,D,gzip + AES + KEM,6.312774658203125,17.591019034082162
data\user_data\D1\PXL_20251226_070701079.MP.jpg,A,zstd + AES + KEM,6.150442123413086,91.91768544825509
data\user_data\D1\PXL_20251226_070701079.MP.jpg,B,raw + AES + KEM,6.150442123413086,149.66909995773946
data\user_data\D1\PXL_20251226_070701079.MP.jpg,C,raw + AES,6.150442123413086,721.4764118623264
data\user_data\D1\PXL_20251226_070701079.MP.jpg,D,gzip + AES + KEM,6.150442123413086,17.679546963403897
data\user_data\D1\PXL_20251227_164939125.MP.jpg,A,zstd + AES + KEM,6.209925651550293,96.26761880917407
data\user_data\D1\PXL_20251227_164939125.MP.jpg,B,raw + AES + KEM,6.209925651550293,154.5038189502517
data\user_data\D1\PXL_20251227_164939125.MP.jpg,C,raw + AES,6.209925651550293,752.353484645984
data\user_data\D1\PXL_20251227_164939125.MP.jpg,D,gzip + AES + KEM,6.209925651550293,17.161900706315524
data\user_data\D1\PXL_20251227_165051684.TS-000.MP.jpg,A,zstd + AES + KEM,6.1177873611450195,86.52785175786138
data\user_data\D1\PXL_20251227_165051684.TS-000.MP.jpg,B,raw + AES + KEM,6.1177873611450195,134.20585584128366
data\user_data\D1\PXL_20251227_165051684.TS-000.MP.jpg,C,raw + AES,6.1177873611450195,736.665669729547
data\user_data\D1\PXL_20251227_165051684.TS-000.MP.jpg,D,gzip + AES + KEM,6.1177873611450195,16.957992336759297
data\user_data\D1\PXL_20260104_142132729.mp4,A,zstd + AES + KEM,8.054511070251465,117.87785142290801
data\user_data\D1\PXL_20260104_142132729.mp4,B,raw + AES + KEM,8.054511070251465,174.92618265706125
data\user_data\D1\PXL_20260104_142132729.mp4,C,raw + AES,8.054511070251465,680.6648247612112
data\user_data\D1\PXL_20260104_142132729.mp4,D,gzip + AES + KEM,8.054511070251465,18.329493660828888
data\user_data\D1\PXL_20260110_101310876.MP.jpg,A,zstd + AES + KEM,6.138520240783691,90.89014220100081
data\user_data\D1\PXL_20260110_101310876.MP.jpg,B,raw + AES + KEM,6.138520240783691,91.65390427235792
data\user_data\D1\PXL_20260110_101310876.MP.jpg,C,raw + AES,6.138520240783691,403.2848860697457
data\user_data\D1\PXL_20260110_101310876.MP.jpg,D,gzip + AES + KEM,6.138520240783691,15.92741636704888
data\user_data\D1\PXL_20260116_161545226.MP.jpg,A,zstd + AES + KEM,6.674646377563477,92.6248194039169
data\user_data\D1\PXL_20260116_161545226.MP.jpg,B,raw + AES + KEM,6.674646377563477,154.04854984439464
data\user_data\D1\PXL_20260116_161545226.MP.jpg,C,raw + AES,6.674646377563477,737.497390199606
data\user_data\D1\PXL_20260116_161545226.MP.jpg,D,gzip + AES + KEM,6.674646377563477,16.838822057907237
data\user_data\D1\PXL_20260116_161547655.MP.jpg,A,zstd + AES + KEM,6.463465690612793,95.1088705507911
data\user_data\D1\PXL_20260116_161547655.MP.jpg,B,raw + AES + KEM,6.463465690612793,154.44842198949107
data\user_data\D1\PXL_20260116_161547655.MP.jpg,C,raw + AES,6.463465690612793,693.4156198770231
data\user_data\D1\PXL_20260116_161547655.MP.jpg,D,gzip + AES + KEM,6.463465690612793,17.128878140870988
data\user_data\D1\PXL_20260122_172242999.MP.jpg,A,zstd + AES + KEM,6.0613861083984375,86.9727921878664
data\user_data\D1\PXL_20260122_172242999.MP.jpg,B,raw + AES + KEM,6.0613861083984375,136.87407094907977
data\user_data\D1\PXL_20260122_172242999.MP.jpg,C,raw + AES,6.0613861083984375,738.7069654496308
data\user_data\D1\PXL_20260122_172242999.MP.jpg,D,gzip + AES + KEM,6.0613861083984375,17.170228841824162
data\user_data\D1\PXL_20260124_115240398.MP.jpg,A,zstd + AES + KEM,6.709484100341797,100.25677424324877
data\user_data\D1\PXL_20260124_115240398.MP.jpg,B,raw + AES + KEM,6.709484100341797,162.4017973327994
data\user_data\D1\PXL_20260124_115240398.MP.jpg,C,raw + AES,6.709484100341797,787.2856044810917
data\user_data\D1\PXL_20260124_115240398.MP.jpg,D,gzip + AES + KEM,6.709484100341797,17.86205414309113
data\user_data\D1\PXL_20260125_130004906.MP.jpg,A,zstd + AES + KEM,6.422316551208496,95.87822405473078
data\user_data\D1\PXL_20260125_130004906.MP.jpg,B,raw + AES + KEM,6.422316551208496,149.3329307181755
data\user_data\D1\PXL_20260125_130004906.MP.jpg,C,raw + AES,6.422316551208496,762.1932547267518
data\user_data\D1\PXL_20260125_130004906.MP.jpg,D,gzip + AES + KEM,6.422316551208496,15.711347578222098
data\user_data\D1\PXL_20260125_130006865.MP.jpg,A,zstd + AES + KEM,6.171470642089844,77.88130847369406
data\user_data\D1\PXL_20260125_130006865.MP.jpg,B,raw + AES + KEM,6.171470642089844,99.43880642337777
data\user_data\D1\PXL_20260125_130006865.MP.jpg,C,raw + AES,6.171470642089844,648.8908016007903
data\user_data\D1\PXL_20260125_130006865.MP.jpg,D,gzip + AES + KEM,6.171470642089844,15.970276595753859
data\user_data\D1\PXL_20260127_165207636.MP.jpg,A,zstd + AES + KEM,6.2840423583984375,90.59358811027876
data\user_data\D1\PXL_20260127_165207636.MP.jpg,B,raw + AES + KEM,6.2840423583984375,130.15074414883972
data\user_data\D1\PXL_20260127_165207636.MP.jpg,C,raw + AES,6.2840423583984375,705.5568802301485
data\user_data\D1\PXL_20260127_165207636.MP.jpg,D,gzip + AES + KEM,6.2840423583984375,16.899324002640306
data\user_data\D1\PXL_20260129_110336318.MP.jpg,A,zstd + AES + KEM,6.908943176269531,100.75884292849827
data\user_data\D1\PXL_20260129_110336318.MP.jpg,B,raw + AES + KEM,6.908943176269531,151.2565005097296
data\user_data\D1\PXL_20260129_110336318.MP.jpg,C,raw + AES,6.908943176269531,765.3981720217766
data\user_data\D1\PXL_20260129_110336318.MP.jpg,D,gzip + AES + KEM,6.908943176269531,17.154549070559337
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,A,zstd + AES + KEM,6.4588422775268555,87.23379171798835
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,B,raw + AES + KEM,6.4588422775268555,135.81293725870833
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,C,raw + AES,6.4588422775268555,670.8046211387664
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,D,gzip + AES + KEM,6.4588422775268555,16.578252154085934
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,A,zstd + AES + KEM,6.041681289672852,82.11595359714863
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,B,raw + AES + KEM,6.041681289672852,134.31599706444385
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,C,raw + AES,6.041681289672852,734.5687788679865
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,D,gzip + AES + KEM,6.041681289672852,16.707085149753752
data\user_data\D1\PXL_20260129_155506941.MP.jpg,A,zstd + AES + KEM,6.182991027832031,89.36417410778115
data\user_data\D1\PXL_20260129_155506941.MP.jpg,B,raw + AES + KEM,6.182991027832031,132.8829611527726
data\user_data\D1\PXL_20260129_155506941.MP.jpg,C,raw + AES,6.182991027832031,708.4330348231897
data\user_data\D1\PXL_20260129_155506941.MP.jpg,D,gzip + AES + KEM,6.182991027832031,14.588123858109167
data\user_data\D1\PXL_20260129_155521565.MP.jpg,A,zstd + AES + KEM,6.308686256408691,66.68533667492922
data\user_data\D1\PXL_20260129_155521565.MP.jpg,B,raw + AES + KEM,6.308686256408691,127.39570486858709
data\user_data\D1\PXL_20260129_155521565.MP.jpg,C,raw + AES,6.308686256408691,654.3262196144042
data\user_data\D1\PXL_20260129_155521565.MP.jpg,D,gzip + AES + KEM,6.308686256408691,15.913071453388472
data\user_data\D1\PXL_20260129_155547683.MP.jpg,A,zstd + AES + KEM,6.784265518188477,96.9241711638598
data\user_data\D1\PXL_20260129_155547683.MP.jpg,B,raw + AES + KEM,6.784265518188477,160.64999903040297
data\user_data\D1\PXL_20260129_155547683.MP.jpg,C,raw + AES,6.784265518188477,712.363552107781
